Title,Views,Upload_Date,Likes,Comments,Description
Risking millions of Dollars of Nepali? The Truth of Sagoon,237807,2022-10-17,8337,463,"In 2015, A huge event was organized in Kathmandu to launch Sagoon 2.0. Sagoon, a social gifting platform, said it was a revolutionary concept and made by Nepali people. Finally the day had come where Nepali were going to make big impact on IT field. Thousands of Nepali invested millions of dollar to support this made by Nepali platform. 7 years later, Sagoon has become irrevelant in online media, It barely makes any announcement these days and those investor who were promised that they will get millions in return are now stuck. This is the story of Sagoon.
Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by: Bishwa Rai (https://www.instagram.com/bishwa546/)

Edited by: Ajay Khadka (https://www.instagram.com/khadka__ajay/)

Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)

Sources:
https://www.nayapatrikadaily.com/news-details/51317/2020-09-17
https://cijnepal.org.np/sagoon-puts-crores-of-investment-by-nepalis-at-risk/
https://cijnepal.org.np/sagoon-2/
https://techsathi.com/securities-board-of-nepal-issuing-conflicting-notices-regarding-sagoon
https://www.annapurnapost.com/news/nepaalbaatt-praapt-munaaphaa-nepaalkai-aarthik-smrddhikaa-laagi-pryog-grchaun-sgun-165595
https://www.annapurnapost.com/news/81968-81968
https://www.annapurnapost.com/news/51303-51303
https://myrepublica.nagariknetwork.com/news/sagoon-strikes-m-deal-with-ht-overseas/

Sagoon YouTube Channel: https://www.youtube.com/channel/UCh0SCYG3CGGt228K4ui3jNQ"
Nepal's Biggest Businessman to Fraud? The Dark Truth of Civil Group,862749,2022-10-02,17788,584,"This is the story of a businessman who achieved everything in just 25 years, had 21 companies under him, an ex- Member of Parliament, and a source of inspiration for many. He is now facing charges for a fraud of almost 800 crore from 2000+ people who deposited their life savings in his cooperative. The Police has labelled the fraud as an Organized crime. This is the Dark story of Civil Group. 
Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by: Rijan Maharjan (https://www.facebook.com/rijan.maharjan.0528)

Edited by: Ajay Khadka (https://www.instagram.com/khadka__ajay/)

Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)

Sources:
https://english.nepalpress.com/2021/10/07/ichchha-raj-tamang-defrauded-hundreds-of-people-to-embezzle-millions-of-rupees/
https://myrepublica.nagariknetwork.com/news/ichchha-raj-tamang-s-wife-jailed/
https://himalsanchar.com/ichha-raj-tamangs-statement-it-is-not-my-responsibility-to-return-7-billion-rupees-to-the-savers/
https://www.peoplesreview.com.np/2021/12/29/developer-housing-iccha-raj-tamang-and-me/
https://english.khabarhub.com/2021/04/224232/
https://www.spotlightnepal.com/2021/10/05/ichharaj-tamang-and-11-other-arrested-banking-fraud-charges/
https://english.khabarhub.com/2021/29/229464/
https://thehimalayantimes.com/kathmandu/civil-bank-chair-faces-money-laundering-investigation
https://kathmandupost.com/national/2022/06/22/judicial-council-meet-called-after-audio-recording-of-judge-dealing-money-leaked
https://ekantipur.com/news/2021/10/04/163336845251029452.html

Facebook Group of Civil Savings & Credit Co-operative Ltd.(Pidit Samuha): https://www.facebook.com/groups/477724543184401
Official Document from Dilli P Bhattarai: https://docs.google.com/document/d/1_YX9EQvvhkAXYOjiOPVx24K3airAoKSo/edit?usp=sharing&ouid=112740267904400294208&rtpof=true&sd=true

Youtube and News Links:
Yoho TV: https://www.youtube.com/watch?v=QOTEWnLISHc&t=547s
Janata TV: https://www.youtube.com/watch?v=8eNou7fVx34&t=1933s
News24 Exclusive Leaked Audio: https://www.youtube.com/watch?v=GWr6-qZ7SB0&t=860s
Sagarmatha TV: https://www.youtube.com/watch?v=rCrWdfMOKok
News24: https://www.youtube.com/watch?v=1QfKl36KQfs&t=865s
Notebazaar: https://www.youtube.com/watch?v=UQT11h_5Zhg&t=1974s
Galaxy 4K: https://www.youtube.com/watch?v=FU1THwNmq04"
How Bhutan turned its Nepali Citizens into REFUGEES | The Camps | Part 2,300719,2022-09-26,9610,1497,"Bhutan 🇧🇹 presents itself as peace loving, progressive and happy country and yet it does not acknowledge its dark history. Some three decades ago, BhutanBhutan 🇧🇹 presents itself as peace loving, progressive and happy country and yet it does not acknowledge its dark history. Some three decades ago, Bhutan
Created one of the biggest Refugees Crisis in the World when it exiled almost 1/6th of its population as illegal immigrant. Almost all of them were “The Lhotshampas”, the Southern Bhutanese, who were from Nepali Ethnicity. They had been living there for generations with peace and then they were all exiled almost overnight. 

In this second part, we will look at what exactly happened inside camps, why negotiations between Nepal and Bhutan never prorgressed and what lead to the resettlement in third country. 

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by: Bishwa Rai (https://www.instagram.com/bishwa546/)

Edited by: Ajay Khadka (https://www.instagram.com/khadka__ajay/)

Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)

Sources:

Articles and Books

1.Unbecoming Citizens (https://global.oup.com/academic/product/unbecoming-citizens-9780195670608?lang=en&cc=bw)
2. The Lhotsampa People of Bhutan by Venkat Pulla (https://www.amazon.com/Lhotsampa-People-Bhutan-Resilience-Survival/dp/1137557214)
3. Bhutan’s Dark Secret: (https://thediplomat.com/2016/09/bhutans-dark-secret-the-lhotshampa-expulsion/)
4. http://bhutaneserefugees.com/
5. https://reliefweb.int/report/nepal/prolonging-crisis-bhutanese-refugees
6. Human Rights Watch (https://www.hrw.org/reports/2007/bhutan0507/3.htm)
          (https://www.hrw.org/legacy/backgrounder/wrd/refugees/3.htm)
7.https://myrepublica.nagariknetwork.com/news/how-bhutan-is-fooling-the-world-about-refugee-crisis/
8.https://www.nrc.no/globalassets/pdf/reports/bhutan---land-of-happiness-for-the-selected.pdf
9.https://www.satp.org/satporgtp/countries/bhutan/document/actandordinances/nationality_law_of_bhutan.htm
10.https://thewire.in/external-affairs/india-nepal-refugee-rohingya-bhutan-crisis
11.https://reliefweb.int/report/nepal/bhutanese-refugee-operation-situation-present
12.https://himalaya.socanth.cam.ac.uk/collections/journals/pdsa/pdf/pdsa_01_01_05.pdf


Documentaries:
1. Matoko Katha: Herne Katha (https://www.youtube.com/watch?v=CZGXRhHfXkg&t=602s)
2. Bhutan's prime minister: Al Jazeera English (https://www.youtube.com/watch?v=0GYVE7CnXcs)
3. Bhutan’s forgotten People : Al Jazeera English (https://www.youtube.com/watch?v=lQHiSHhiJU0)
4. Bhutan’s attempt to clear itself of Nepalese: JourneyMan Pictures(https://www.youtube.com/watch?v=6tSrz7gb9kU&t=950s)"
How Bhutan created one of World’s Biggest Refugee Crisis | The EXILE | Part-1,374367,2022-09-15,12724,2697,"Bhutan 🇧🇹 presents itself as peace loving, progressive and happy country and yet it does not acknowledge its dark history. Some three decades ago, Bhutan
Created one of the biggest Refugees Crisis in the World when it exiled almost 1/6th of its population as illegal immigrant. Almost all of them were “The Lhotshampas”, the Southern Bhutanese, who were from Nepali Ethnicity. They had been living there for generations with peace and then they were all exiled almost overnight. 

In this first part of Bhutan’s Darkest Secret: we look at what lead to such dramatic measures from the Bhutanese Monarch for which we would have to start from the beginning, from the foundation of Bhutan, the impact of Buddhism plays in the country, how the current Monarch, Wangchuk Dynasty came to power and along with the gradual migration of Nepali Ethnic people for centuries and ultimately, how it culminated into such a massive Ethnic cleansing. 

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by: Bishwa Rai (https://www.instagram.com/bishwa546/)

Edited by: Ajay Khadka (https://www.instagram.com/khadka__ajay/)

Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)

Sources:

Articles and Books

1.Wangchuck Dynasty: 100 Years of Enlightened Monarchy in Bhutan
(https://www.amazon.com.au/Wangchuck-Dynasty-Enlightened-Monarchy-Monograph-ebook/dp/B07TWD5PBZ)
2. The Raven Crown by Micheal Aris (https://www.goodreads.com/en/book/show/388825.The_Raven_Crown)
3. Bhutan’s Dark Secret: (https://thediplomat.com/2016/09/bhutans-dark-secret-the-lhotshampa-expulsion/)
4. http://bhutaneserefugees.com/
5. https://reliefweb.int/report/nepal/prolonging-crisis-bhutanese-refugees
6. Human Rights Watch (https://www.hrw.org/reports/2007/bhutan0507/3.htm)
          (https://www.hrw.org/legacy/backgrounder/wrd/refugees/3.htm)
7.https://myrepublica.nagariknetwork.com/news/how-bhutan-is-fooling-the-world-about-refugee-crisis/
8.https://www.nrc.no/globalassets/pdf/reports/bhutan---land-of-happiness-for-the-selected.pdf
9.https://www.satp.org/satporgtp/countries/bhutan/document/actandordinances/nationality_law_of_bhutan.htm
10.https://thewire.in/external-affairs/india-nepal-refugee-rohingya-bhutan-crisis


Documentaries:
1. The Magnificent History Of Bhutan's Royal Family: Real Royalty (https://www.youtube.com/watch?v=svf95f4kjDQ&t=1122s)
2. Bhutan's prime minister: Al Jazeera English (https://www.youtube.com/watch?v=0GYVE7CnXcs)
3. Bhutan’s forgotten People : Al Jazeera English (https://www.youtube.com/watch?v=lQHiSHhiJU0)
4. Bhutan’s attempt to clear itself of Nepalese: JourneyMan Pictures(https://www.youtube.com/watch?v=6tSrz7gb9kU&t=950s)"
How Politics destroyed Nepal Airlines,321411,2022-09-02,11715,566,"Nepal Airlines used to be the most glorious and reputed public institution in Nepal. It even had flights to 20+ destinations including major European Cities. Then, politics happened.  It now has limited destination, there's power struggle between top executives, massive financial mismanagement and is on the verge of bankruptcy.

0:00 Intro 
2:14 History of Royal Nepal Airlines(1958 -1990 A.D)
3:33 Changes after Multiparty Democracy
4:44 Scandal: Dhamija and Girija Prashad Koirala
5:26 Scandal: Chase Air
6:03 Dual Executive Power Issue
7:27 Wide Body and Problems
8:05 Ground Handling
8:50 What then?

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by: Bishwa Rai (https://www.instagram.com/bishwa546/)

Edited by: Ajay Khadka (https://www.instagram.com/khadka__ajay/)

Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)

Source:
https://www.researchgate.net/publication/313314843_Case_Study_Nepal_Airlines_Corporation_NAC

https://english.onlinekhabar.com/wide-body-irregularities-panel-recommends-two-secretaries-nac-md-suspended.html

[https://kathmandupost.com/valley/2019/01/03/wide-body-jet-deal-cost-carrier-rs-435b-in-losses-kc-report]

[https://kathmandupost.com/national/2021/12/26/minister-ale-s-all-play-and-no-work]

https://www.ch-aviation.com/portal/news/105694-kathmandu-denies-plans-to-privatise-nepal-airlines

https://www.aviationnepal.com/nepal-airlines-and-its-core-details-to-transfer-in-company-model/

https://www.nepalisansar.com/business/nepal-airlines-corporation-scam-lands-country-in-npr-4-35-billion-soup/

[https://simpleflying.com/europe-nepal-airways-ban/](https://simpleflying.com/europe-nepal-airways-ban/)

[https://kathmandupost.com/money/2022/08/03/un-watchdog-asks-nepal-to-split-civil-aviation-authority]

[https://thediplomat.com/2022/08/will-reform-of-nepals-civil-aviation-authority-ever-take-off/]

[https://www.nepalitimes.com/banner/nepal-airlines-has-new-planes-but-no-new-plans/]

This video features materials protected by the Fair Use guidelines of Section 107 of the Copyright Act for the use of criticism, comment, reporting and teaching. All the footage belong to their respective owners."
How Police (FAKE?) ENCOUNTERED CHARI Don,1021502,2022-08-26,28301,839,"On Shrawn 21, 2071, Dinesh Adhikari aka Chari was killed in a cross fire with police. The Police claimed it was not a preplanned encounter but there were a lot of doubtful evidence which said otherwise. It became a national debate. And out of blue, Chari’s unknown girlfriend at the time came to media and names two person behind the murder. So, who is right and what exactly happened?

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]



Edited by: Ajay Khadka (https://www.instagram.com/khadka__ajay/)

Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)

Timestamp:
0:00 CHARI Encountered
01:04 Controversy around the death
02:10 Chari's Girlfriend
03:06 Intro Montage
03:28 Chari's Rise into Crime and Power
05:04 Fight with Radhe
05:40 Khusbu Oli
07:02 Khusbu's Claim
07:50 Fall from Grace
09:50 What's the point, then?

Sources:

https://www.wiki-global.org/dinesh-adhikari-chari/ 

https://thenepalkhabhar.blogspot.com/2016/03/khusbu-oli-and-her-exdinesh-adhikari.html 

https://nepal24hours.com/charis-brother-moves-sc-police/ 

https://kathmandupost.com/miscellaneous/2014/08/15/writ-filed-at-sc-against-charis- murder 

https://kathmandupost.com/national/2019/05/04/dsp-dhungel-suspended-for-suspected- association-with-a-robber 

https://nepal24hours.com/uproar-parliament-killing-don-lawmakers-term-fake-encounter/ 

https://kathmandupost.com/miscellaneous/2014/08/08/chari-killed-in-cold-blood-oli 

https://allnepalwiki.blogspot.com/2014/08/don-chari-killed-encounter-or-murder.html 

https://bhadrajol.blogspot.com/2014/08/dinesh-adhikari-chari-girlfriend-khusbu.html 

https://myrepublica.nagariknetwork.com/news/crime-and-punishment-1/ 

https://www.nepalee.com/nation/crime/k-p-oli-says-chari-died-in-cold-blooded- murder.html 

http://test.sajha.com/sajha/html/index.cfm?threadid=109886 https://nepal24hours.com/don-chari-dies-shoot-police-capital/ 

This video features materials protected by the Fair Use guidelines of Section 107 of the Copyright Act for the use of criticism, comment, reporting and teaching. All the footage belong to their respective owners"
Why LAND and HOUSE are so EXPENSIVE in Nepal?,221764,2022-08-17,10525,478,"We all know how expensive the prices of land and house are in recent days. An average salaried worker in Nepal now needs to save 10 years of salary just to buy the land in the capital. Realistically, it would take a minimum of 20-25 years and in that time, the prices will again soar to some astronomical figure.  So, if average people cant pay for the land, why is it so expensive, who are responsible behind it and what problem is it creating?

Timestamp:
0:00 Durbarmarg
1:26 3 Reasons behind the Rise
4:42 Effects of Soaring Prices
8:22 Possible Solutions


Let's connect :
If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Edited by: Ajay Khadka (https://www.instagram.com/khadka__ajay/)
Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)

Sources:
If you only have little time, read these three only: 
https://cijnepal.org.np/why-kathmandus-land-prices-continue-to-skyrocket/)
(https://www.nepalitimes.com/banner/kathmandus-unreal-real-estate-prices/)
(https://www.nrb.org.np/contents/uploads/2021/11/HPI-Survey-Report.pdf)

If you have more time: go on with these: 
(https://thehimalayantimes.com/nepal/real-estate-boom-in-the-time-of-pandemic)
(https://myrepublica.nagariknetwork.com/news/state-of-real-estate-1/)
(https://english.onlinekhabar.com/kathmandus-soaring-real-estate-industry-has-an-impact-on-the-productive-economy-control-is-a-must.html)
(https://www.nrb.org.np/contents/uploads/2021/11/HPI-Survey-Report.pdf)
(https://farsightnepal.com/news/38)

This video features materials protected by the Fair Use guidelines of Section 107 of the Copyright Act for the use of criticism, comment, reporting and teaching. All the footage belong to their respective owners.

Desh Nepal
Ray 4U
CIJ Nepal
Aljazeera
Rural Nepal Village"
The Rise & Fall of Sagar Thapa - Guilty of Match Fixing?,587909,2022-08-11,19278,696,"Sagar Thapa was the golden boy of the Nepali Football Team. A natural leader, charismatic personality, and a Free Kick goal against Bangladesh that can never be recreated. In October 2015, Nepal police caught Sagar Thapa along with four others for alleged match fixing in various matches from 2008- 2014. This became one of the biggest scandal in Nepali Sports history. The supreme court has acquitted them from the reason. So, Is he really guilty or was he framed?

Let's connect :
If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Bishwa Rai (https://www.instagram.com/bishwa546/)
Edited by: Ajay Khadka (https://www.instagram.com/khadka__ajay/)
Graph Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)

Sources:

https://kathmandupost.com/sports/2015/12/05/match-fixing-scandal-nepali-footballers-face-afc-life-ban
https://www.bbc.com/news/world-asia-34763303
[https://www.the-afc.com/en/more/news/afc_suspends_nepali_players_and_official_for_match-fixing.html]
https://www.sportsintegrityinitiative.com/nepali-footballers-charged-with-match-fixing/
[https://myrepublica.nagariknetwork.com/news/29006/]
[https://sportslawnews.wordpress.com/2015/12/18/match-fixing-a-crime-worthy-of-a-life-sentence/]
[https://english.khabarhub.com/2020/16/82166/](https://english.khabarhub.com/2020/16/82166/)
[https://www.besoccer.com/new/nepal-footballers-in-court-on-match-fixing-treason-charges]
[http://nepalihimal.com/article/5470](http://nepalihimal.com/article/5470)
https://www.sbs.com.au/language/nepali/en/podcast-episode/football-match-fixing-is-not-an-act-against-the-state/shjxe5iag
http://archive.indianexpress.com/news/a-reform-that-changed-nepal-s-football-fate/887128/1
https://www.google.com/amp/s/sports.yahoo.com/amphtml/news/nepal-footballers-court-match-fixing-treason-charges-100622776.html
http://nepalihimal.com/article/5470
https://www.the-afc.com/en/more/news/afc_suspends_nepali_players_and_official_for_match-fixing.html

This video features materials protected by the Fair Use guidelines of Section 107 of the Copyright Act for the use of criticism, comment, reporting and teaching. All the footage belongs to their respective owners."
The Internet Speed Price War in Nepal,284775,2022-08-06,12874,545,"There is a war going on right now in Nepal. Not with guns and bullets, 
but with speed and price. Internet Service Providers or ISP are at war 
to get new customers. 
How? By announcing new and bigger packages but at the same rate as previous. 
But how is this possible? And is it why our internet sucks these days?

Let's connect :
If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Edited by: Ajay Khadka (https://www.instagram.com/khadka__ajay/)
Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)

Special Mention to my friends for the Voice Overs:

Sanni Shrestha
Anuj Raj Shrestha
Yurika Khanal
Abhi Khatiwada

Sources:
(https://www.nepalitelecom.com/2021/12/internet-speed-war-unauthorized-nta-releases-a-notice.html)
(https://kathmandupost.com/money/2021/12/19/internet-speed-arms-race-a-cause-for-concern-nta-says)
(https://www.rashtranews.com/how-did-the-internet-speed-war-begin-and-what-to-make-of-it-nepal-news/)
(https://gadnwid.com/internet-service-isp-in-nepal/) 
(https://www.atlasandboots.com/remote-work/countries-with-the-cheapest-internet-world/)
(https://techenum.com/isp-bandwidth-contention-ratio-in-context-of-nepal/)
(https://techlekh.com/internet-price-nepal-taxes/)
(https://www.linkedin.com/pulse/broadband-war-nepal-tek-bahadur-limbu/)

This video features materials protected by the Fair Use guidelines of Section 107 of 
the Copyright Act for the use of criticism, comment, reporting and teaching. 
All the footage belong to their respective owners.
Nepal Press (https://www.youtube.com/watch?v=QxXaeGfi2aA&t=648s)
Tech Pana
Worldlink
CG
Classic Tech
Setopati"
The Dark Reality of Illegal SAND Mining in Nepal,630910,2022-07-29,25879,649,"Each year hundreds of children die from drowning in pits filled with water that were constructed by the Sand Mining Industry in Nepal. Most of which don’t have proper license or don’t follow any regulation. Whenever someone questions or tries to speak against them, they are either killed or made silent forever. All this for some extra sand. So, What makes Sand Mafia so powerful and why is Illegal Sand so important?

Let's connect :
If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Bishwa Rai (https://www.instagram.com/bishwa546/)
Edited by: Ajay Khadka (https://www.instagram.com/khadka__ajay/)
Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)


Sources:
https://www.recordnepal.com/sand-mafia-murder-dhanusha-youth-who-fought-back
https://kathmandupost.com/national/2019/11/28/why-sand-mining-is-rampant-and-what-s-not-being-done-to-control-it
https://www.recordnepal.com/environment-conservation-takes-a-back-seat-in-the-budget
https://kathmandupost.com/miscellaneous/2014/12/18/exports-of-sand-stone-to-india-should-go-on-mahat
https://kathmandupost.com/columns/2020/01/24/dilip-mahato-should-have-been-a-hero-instead-he-will-be-forgotten
https://www.nepjol.info/index.php/BDG/article/view/1424#:~:text=Demand%20of%20sand%20has%20been,sand%20comes%20from%20such%20mining
https://cijnepal.org.np/when-crusher-operators-and-local-representatives-collude-to-plunder/
https://nepalitimes.com/drawing-a-line-in-the-sand/
https://www.thethirdpole.net/en/regional-cooperation/sand-mafia-flouts-the-laws-in-india-and-nepal/
https://myrepublica.nagariknetwork.com/news/sand-aggregate-prices-fall-on-slow-demand-improved-supplies/
https://kathmandupost.com/columns/2021/06/17/the-chure-conundrum
https://english.onlinekhabar.com/explained-nepals-plan-to-export-pebbles-and-sand-at-the-cost-of-chure-conservation.html

List of Politician and Sand Mining firms:
https://www.nepalitimes.com/banner/hiding-their-head-in-the-sand/
https://archive.nepalitimes.com/article/from-nepali-press/Elected-contractors,4182
https://www.nepalitimes.com/here-now/drowning-in-sorrow/

This video features materials protected by the Fair Use guidelines of Section 107 of the Copyright Act for the use of criticism, comment, reporting and teaching. All the footage belong to their respective owners.

Forbes
Wion
Vice Media
AP1 HD
DC Nepal
PBS News
Global News
AP International
News 24
Nepal Times"
Billionaire to Nepal's Biggest FRAUD??,491499,2022-07-25,14701,852,"This is the story of a man who became a billionaire by the age of 35 on his own, was the biggest player in the real state market in Nepal and yet he has now become Nepal’s Biggest Fraud. A fraud that affected more than 600 families and more than 7000 people. So, how did all this happen?
Let's connect :
If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Edited by: Ajay Khadka (https://www.instagram.com/khadka__ajay/)
Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)

TimeStamp:
0:00 Affected by Fraud
0:58 Sudhir Basnet
1:43 The Origin
3:28 The Masterplan
4:36 Financial Crisis
5:25 All is Over
6:35 The Banks: Real Culprits
8:37 Vegas City Apartment
9:30 Fraud or Victim of Situation

Sources:
https://cijnepal.org.np/how-banks-enabled-nepals-biggest-fraud-and-ruined-peoples-life/
https://en.setopati.com/social/123710
https://english.onlinekhabar.com/notorious-fraudster-sudheer-basnet-released-after-serving-multiple-sentences.html
https://english.corporatenepal.com/news/detail/3619/
https://www.sharesansar.com/newsdetail/sudhir-basnet-arrested-on-fraud-charges
https://myrepublica.nagariknetwork.com/news/epf-taking-oriental-cooperative-chairman-basnet-owned-kohinoor-hill-housing-to-auction/
https://www.youtube.com/watch?v=WMYqDMKpkcM&t=278s
https://www.youtube.com/watch?v=NFAP86ARU9Y&t=316s
https://www.youtube.com/watch?v=pikjCqA9zpc&t=181s
https://www.youtube.com/watch?v=L-9-SFNzPaM&t=8s
https://www.youtube.com/watch?v=B6PbLv_1UUM&t=180s
https://www.youtube.com/watch?v=XAI30Zdyx04&t=206s
https://www.youtube.com/watch?v=8PmrJ60gWto
https://www.youtube.com/watch?v=wTngRHPZk5w


This video features materials protected by the Fair Use guidelines of Section 107 of the Copyright Act for the use of criticism, comment, reporting and teaching. All the footage belong to their respective owners."
How India Uses DAMS To Control Floods in Nepal,201460,2022-07-19,10355,840,"Nepal floods every year mostly during the monsoon season. What threatens more are the barrages built by India which violate international practices. According to last year's data, there are 21 such barrages. These barrages cover the entire Terai from east to west. So, Why is no one doing anything, and how does India control Nepal floods? 

Let's connect :
If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Bishwa Rai ( https://www.instagram.com/bishwa546/)
Edited by: Ajay Khadka (https://www.instagram.com/khadka__ajay/)
Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)

Timestamp:
0:00 Yeshodhara Inundation
1:35 What causes Floods
02:31 India's Involvement
04:05 The flood of 1953
05:05 The Present Conflict
06:00 So, what then? 

Sources:

[https://www.thehindu.com/opinion/op-ed/india-nepal-flood-management-needs-course-correction/article35754101.ece]

[https://kathmandupost.com/national/2021/07/11/nepal-must-pursue-inundation-issues-with-india-year-round-observers-say]

[https://www.nytimes.com/2019/09/29/world/asia/nepal-india-flood-dam.html]

[https://web.archive.org/web/20210711021841/https://www.nhrcnepal.org/nhrc_new/doc/newsletter/BOARER_Report_NHRC_Jestha_2077-compressed.pdf]

[https://scroll.in/latest/969966/nepal-not-cooperating-with-bihar-nitish-kumar-tells-pm-modi-during-meeting-on-flood-situation]

[https://www.downtoearth.org.in/interviews/natural-disasters/-every-flood-in-nepal-causes-deluge-in-india--65707]

[https://www.thethirdpole.net/en/regional-cooperation/along-the-koshi-flooded-in-nepal-ignored-by-india/]
[https://www.gktoday.in/topic/why-india-nepal-flood-management-needs-correction/]

[https://www.semanticscholar.org/paper/Kosi-embankment-Breach-in-Nepal%3A-Need-for-a-Shift-Dixit/df00677ca0215f3470365ce1212e9d81238a89c7]

[https://www.firstpost.com/long-reads/a-dammed-history-of-the-kosi-5221841.html]

[https://idsa.in/idsastrategiccomments/RevisitingtheKosiAgreement_Medha Bisht_220908]

[https://www.forwardpress.in/2020/04/dr-ambedkar-pioneer-of-national-water-resources-development-policy/]

[https://kathmandupost.com/national/2021/07/11/nepal-must-pursue-inundation-issues-with-india-year-round-observers-say]


[https://www.nepalitimes.com/editorial/flood-of-recrimination/](https://www.nepalitimes.com/editorial/flood-of-recrimination/)

https://www.earthnetworks.com/flooding/

https://www.researchgate.net/publication/330221889_Nepal_Terai_Flood_of_2017_A_Case_Study_of_Gaur_Municipality_Rautahat

https://www.researchgate.net/publication/270127960_Flooding_and_Inundation_in_Nepal_Terai_Issues_and_Concerns

https://www.researchgate.net/figure/Study-Area-Major-Rivers-of-Tulsipur-SubMetropolitan-City_fig1_353558431

https://hazards.fema.gov/nri/riverine-flooding#:~:text=Riverine%20Flooding%20is%20when%20streams,low%2Dlying%2C%20dry%20land.

https://www.google.com/url?sa=t&source=web&rct=j&url=https://en.m.wikipedia.org/wiki/List_of_rivers_of_Nepal&ved=2ahUKEwjKhe37nOL4AhXrm9gFHX23DD8QFnoECE8QAQ&usg=AOvVaw1zM8M03_Tk5SH2QUaSAl5B

https://www.unep.org/news-and-stories/story/how-climate-change-making-record-breaking-floods-new-normal

[https://www.gfdrr.org/sites/default/files/publication/final_report_Glacial Lakes Outburst Floods Nepal.pdf]

https://www.nepalitimes.com/banner/climate-change-is-a-disaster-in-the-nepal-himalaya/#:~:text=Unseasonal rains this week unleashed,when expanding glacial lakes burst.

https://library.wmo.int/doc_num.php?explnum_id=10867

https://www.thethirdpole.net/en/climate/cyclones-south-asia/

This video features materials protected by the Fair Use guidelines of Section 107 of the Copyright Act for the use of criticism, comment, reporting and teaching. All the footage belong to their respective owners.

Film Division India
BBC News
Kantipur TV
DW News
India Ahead
ABP News
ANI
Setopati"
